plan_id,state,metal_level,rate,rate_area
07265JI9125894,UT,Gold,273.31,4
53686HW1403939,ND,Bronze,273.2,3
11499EY8062742,GA,Platinum,444.66,9
82825US4945556,AR,Gold,326.97,2
31603DV4661648,FL,Silver,400.82,48
22777KP5563289,WI,Bronze,325.56,9
63124TJ1928118,UT,Silver,250.2,2
06237QF8187674,PA,Silver,386.57,7
40334YB0656320,SC,Gold,343.07,5
85398RT8865718,SC,Gold,367.2,24
38445LG2153505,IL,Bronze,211.67,4
00153PM2402527,TX,Gold,457.69,2
89354JT4374622,TX,Silver,372.45,8
81784OT7743387,IN,Bronze,243.44,15
80974ZH4000502,IL,Gold,295.48,2
44872TA8202752,OK,Gold,335.51,1
04362CL9906851,FL,Silver,265.03,64
36621IY6023944,OH,Gold,294.5,1
71406JG6133514,SC,Silver,292.72,8
74451VV9882484,SC,Bronze,264.15,28
38658PA5451345,IN,Bronze,222.94,15
02788BK1957820,TX,Gold,306.53,24
61837QE6017394,IN,Bronze,244.5,2
50936BE3339233,SC,Catastrophic,234.97,3
20223RF5346254,PA,Gold,210.83,1
16148MY8147367,AZ,Bronze,351.2,1
93300HU1571146,PA,Gold,298.69,6
23792XS0099915,MI,Gold,421.17,11
20595TY9658259,TN,Silver,336.79,5
48849TM6711678,OH,Bronze,197.01,11
04655VJ0856894,WI,Gold,312.18,2
93344MO8277445,NM,Bronze,182.31,5
96031TD0047738,SC,Gold,328.05,14
14991WJ6392639,FL,Gold,358.35,52
63347YT9273138,UT,Gold,320.68,6
37539WD5152381,MI,Bronze,223.89,2
90653NI9697542,SC,Silver,296.73,8
92315KC2886355,TX,Bronze,285.84,3
63230HR2475287,KS,Platinum,337.13,6
83179HL1770897,FL,Silver,330.9,12
29734HG1316613,GA,Silver,283.04,7
19285AV4847712,SC,Gold,341.18,11
53693PY3268816,SC,Bronze,249.31,9
19341DQ2700436,AZ,Silver,409.2,2
94536FR0851650,MO,Silver,342.33,1
17330HC9669357,IL,Silver,322.45,1
07054CK6951255,TN,Platinum,390.98,4
50977EQ2636577,WI,Silver,330.05,11
31422VR1819297,AZ,Catastrophic,126.34,6
09034TC0320849,IN,Bronze,273.15,15
55521YH1271098,SC,Catastrophic,233.09,5
13536TY1802754,KS,Silver,231.16,3
30132DO4792739,MI,Silver,314.34,10
16860MW8795408,MI,Gold,364.02,7
44299TN7142929,OK,Gold,375.16,4
97683CK5638208,NV,Gold,291.6387977,1
67770XA6851792,FL,Gold,453.53,58
04368EL1950754,MO,Silver,287.06,6
92183PS5330825,OH,Silver,362.86,5
59138PQ8272869,FL,Gold,426.02,30
46044QT1396764,IL,Silver,286.1,12
42696LM5716036,IL,Bronze,170.6,1
26196EF1224871,FL,Bronze,363.43,32
49132KQ6659565,MO,Bronze,267.63,1
19998MQ7277712,GA,Silver,257.91,14
02156TB6731351,IL,Bronze,241.62,8
29473OI2336200,FL,Gold,401.01,30
78410JO7775737,IL,Gold,296.98,12
77227XW8219107,UT,Bronze,208.55,5
83682ZD3759069,TX,Bronze,221.76,9
26994QB8205522,SC,Bronze,252.68,11
56014HG6717690,FL,Bronze,322.96,40
91833JM9953635,SC,Bronze,183.18,5
85120QH5819245,MI,Silver,284.84,3
34512VM4690870,FL,Silver,401.68,64
35706BN5134228,IL,Bronze,231.73,8
04768GW2212654,AR,Gold,343.25,3
48638NU8293599,NH,Bronze,183.63,1
66390SC1410078,FL,Silver,301.29,60
67239XC1368241,TX,Bronze,186.79,11
04969QD7272669,WI,Bronze,234.79,2
48041SG1467215,FL,Silver,352.04,60
51685UG6501801,WI,Silver,407.68,8
81369HJ2360979,OH,Platinum,619.25,1
83188II4556813,AL,Gold,372.75,7
10458NX9257304,IN,Silver,369.23,10
82807VL5233040,OK,Silver,279.05,2
67625BO7935073,FL,Silver,307.53,4
16834NZ1909752,TN,Silver,242.46,4
64347OL7210915,WI,Bronze,286.99,15
42323CC2487782,LA,Gold,414.3,8
76814ZD9236250,SC,Silver,294.55,2
47781NF2908229,TX,Silver,286.62,10
72748RP7286213,FL,Silver,406.78,43
64834VY1349567,FL,Bronze,285.25,57
37768TR2932774,TX,Silver,290.67,8
64021UL0214602,IN,Silver,377.84,11
54555RJ2847544,MI,Silver,257.43,6
30821KO9734154,TX,Gold,334.75,5
03502PQ4011421,IN,Catastrophic,256.98,10
08071UJ1791466,OH,Gold,362.06,15
20376PS4237970,MO,Bronze,250.56,5
41236TC1606347,NC,Silver,297.83,13
21579RX2469974,KS,Catastrophic,157.74,6
57900QC5223169,TX,Bronze,282.31,24
93682WM7564646,TX,Gold,475.76,8
85814JG6073374,LA,Bronze,237.67,4
28499RQ3809446,TX,Silver,294.63,8
24274UN1561281,OH,Silver,411.34,17
21196RX4266234,SC,Gold,279.51,9
27280OW1780837,SC,Silver,320.44,2
89372GB8825154,KS,Gold,254.32,6
64837IU6238547,MI,Bronze,257.71,9
46560XI5238496,SC,Gold,351.21,21
28205OP4468654,SC,Bronze,262.77,29
92728KY2980193,LA,Bronze,283.44,2
93990SW7835773,AZ,Bronze,210.78,7
36889WR3469529,UT,Gold,256.98,4
02603NS9126998,MI,Gold,399.87,10
08265PB3479540,NV,Silver,253.77,1
23093XJ9596153,SC,Silver,276.89,37
48635KD7454697,FL,Silver,306.3,13
40105JU1158952,TN,Bronze,205.03,6
99553WL3773509,UT,Gold,265.02,4
49575BP2782821,MT,Gold,338.95,4
88868OJ2076002,FL,Gold,410.34,46
47231OI3893112,OH,Gold,436.13,8
30541TZ1307194,AL,Catastrophic,178.79,1
37099RU6557257,MI,Catastrophic,161.21,5
89288LH2283981,GA,Bronze,245.54,11
31147TU5864544,FL,Gold,404.81,5
35813BI2736141,UT,Bronze,218.48,3
17581JK9289565,TX,Gold,568.05,8
63219RN0738279,SC,Bronze,429.66,35
17172LD8729543,AZ,Gold,346.4,5
04523UJ3241557,ND,Gold,361.38,4
04482ZI2025774,OH,Silver,270.93,11
60605QJ7331121,TX,Platinum,433.02,3
30386OU2647088,MI,Bronze,307.82,8
23810QG7091998,TN,Bronze,189.97,4
22237TW8324145,SC,Gold,347.57,3
68963NI0584861,FL,Bronze,249.81,46
83971NG8096711,AL,Bronze,204.73,11
28768RL4851595,OH,Silver,363.32,8
45319RX5310887,AL,Silver,260.81,6
94504QC8107037,OK,Silver,268.69,5
94273BS2346424,NM,Silver,295.55,5
48710SQ9105192,WI,Gold,441.73,11
69341OC5986536,SC,Catastrophic,178.74,36
36849EG4725976,SC,Gold,266.54,7
00582WQ0250883,MI,Bronze,243.47,10
22947MO9423801,WI,Silver,415.65,8
80645IU5631272,OH,Silver,275.51,2
94227PY9263206,SC,Catastrophic,224.99,42
88297YB9624036,WI,Silver,327.42,13
66391BV0906790,GA,Catastrophic,273.37,9
26610QB7642923,WI,Bronze,245.85,15
70781BE3473699,LA,Gold,408.65,7
95023LR5882598,MI,Catastrophic,167.05,5
10879WN0053367,FL,Silver,324.96,42
59692GA0417518,AZ,Gold,386.14,7
10478SU3054037,SC,Gold,333.66,26
06213RF7642228,OH,Bronze,258.78,14
74045XW1365177,OH,Gold,368.13,8
98164ZM6280511,WI,Platinum,648.87,14
46693CQ9964062,SC,Silver,275.37,38
09248DH0807117,WI,Bronze,297,15
16608XK1041274,WI,Gold,396.46,10
18883GH5671768,TX,Gold,418.36,11
80175DQ2816876,ME,Bronze,301.52,3
04111UJ9460101,NC,Catastrophic,148.05,7
94207XS4535606,TN,Gold,302.36,1
96722XX3799237,GA,Gold,463.14,8
24562YT6179386,NH,Bronze,185.44,1
55796MB8874220,NC,Silver,404.74,3
92195CB5548122,FL,Gold,414.3,55
88103CC5943553,WY,Silver,401.48,1
65459HG0684371,OH,Bronze,237.05,12
32098GH5435133,NC,Bronze,251.64,7
70535VP6381542,OH,Bronze,267.45,8
10090QB8722790,AZ,Bronze,242.28,1
17591OU4182457,VA,Bronze,288.29,2
42644UW0952749,OH,Catastrophic,196.88,13
80382QD8881295,IL,Bronze,183.76,1
76720PJ3814642,IN,Silver,302.93,4
54484BH0069003,GA,Silver,263.49,14
55712PP5785042,FL,Silver,346.18,5
77311RZ4793124,FL,Silver,358.14,3
25441RD2850003,MI,Silver,250.94,1
81979RR3666840,NM,Bronze,205.52,1
01021XV5487027,WI,Catastrophic,257.95,8
93429ET9727926,GA,Bronze,190.2,2
72634JV6824821,SC,Gold,327.51,7
12004US8683967,FL,Silver,265.49,41
92689XU1435159,KS,Silver,233.15,3
20799ME6537384,IN,Gold,396.57,6
10615RX7299860,OH,Bronze,212.22,4
67112GG2462721,MS,Silver,265.62,1
12662RM0542531,OH,Bronze,336.1,10
03133HZ1382707,TX,Bronze,287.94,10
40762FZ4155086,FL,Gold,406.17,5
94509WC6676446,IN,Gold,360.24,3
40249FB4774673,FL,Bronze,337.53,13
69971NQ9529369,SD,Bronze,256.36,2
95624GP0742519,IN,Gold,404.71,17
88001XK6500961,FL,Silver,381.11,63
53479QS6739369,FL,Platinum,454.99,63
79490XI4732880,TN,Silver,262.03,5
40238PL5896543,FL,Platinum,477.03,61
08688YP5162115,FL,Silver,339.6,64
01196WX9258373,IL,Silver,284.11,13
58216IS3442984,IN,Silver,321.22,6
60087FT1993770,WI,Silver,378.55,13
95827LA8007340,WI,Bronze,317.36,9
69819CF6375727,AZ,Silver,345.62,2
17205BE8327040,GA,Bronze,320.42,11
44493SC0131991,OR,Gold,350,2
35228IR4943514,OR,Silver,257,4
81670VN0224303,LA,Bronze,279.16,4
98746EQ2708041,MI,Gold,413.46,9
47483CB0470812,FL,Silver,369.45,53
01937JT6814958,MO,Silver,316.79,6
88778SF9568896,WI,Bronze,427.98,6
86662SR7629556,SC,Bronze,213.54,44
16904JN8371148,PA,Bronze,191.12,7
75664YP4551604,IN,Silver,330.16,4
21922YU8039771,TN,Silver,241.77,6
85416WP8937618,OR,Silver,278.23,6
90017GX7501808,UT,Silver,251.5,3
60059QH8750497,MI,Platinum,347.46,5
89750IP9933530,TX,Silver,332.96,16
83978BT8767750,OK,Silver,278.48,5
31084WN2718903,SD,Silver,311.18,4
58687UI0858260,MI,Silver,263.48,13
34815OF0343535,TX,Silver,295.94,8
70536JI8770650,WV,Silver,306.48,4
60206PI9348508,OH,Bronze,223.45,14
23776LW7536173,SC,Silver,290.29,32
90396WA4843929,OR,Gold,285.28,1
46371PG2047103,TX,Silver,324.73,24
01367KZ2798378,MI,Silver,248.99,13
32603QQ6601780,MI,Gold,398.92,4
46203YY6960617,NC,Silver,410.43,15
00582AP1222898,OH,Silver,247.93,11
33763PC8538604,IN,Gold,401,6
39458UZ3355076,FL,Silver,345.08,25
86775PM1270545,UT,Gold,271.19,3
59733QT4626809,PA,Silver,199.71,6
24176CO8014433,FL,Gold,462.86,64
03081CX6888270,SC,Silver,295.78,44
20037XU8008129,IA,Bronze,199.08,7
91905FE2911896,FL,Bronze,243.09,41
75730AA0105581,OH,Bronze,284.19,17
85783NZ6731792,VA,Bronze,227.89,5
78962RH0071753,SC,Silver,300.72,34
51240ZG0444229,FL,Platinum,369.03,28
82043RF1465337,FL,Silver,294.42,47
65625GJ7332745,GA,Silver,290.03,10
89721JS8027703,SC,Silver,262.81,7
44993JB6097310,IL,Bronze,182.61,1
54282MF6292516,SC,Silver,250.64,26
74180GR0988692,SC,Silver,293.91,45
28673HL9363627,WI,Platinum,629.57,10
77045HR3830966,WI,Gold,467.33,9
72474KM4772743,GA,Catastrophic,207.09,2
96560XJ4291275,WI,Silver,372.38,14
27178KF8438131,MT,Silver,247,4
41427OM7128479,OH,Bronze,284.5,7
87892BQ0953208,UT,Bronze,229.41,2
69027KP8944836,UT,Silver,260.81,2
93311EX9730715,OH,Bronze,256.53,1
92711KH7952658,TX,Silver,244.01,18
35737NI5221938,FL,Bronze,260.78,51
39063JC7040427,MO,Silver,341.24,3
70745CB7760980,FL,Silver,305.46,32
72912MI2669311,LA,Bronze,269.12,5
44507KY6092793,GA,Silver,290.93,3
04457UR6140311,OH,Silver,304.16,13
88158EZ2435634,IL,Bronze,203.71,7
26721EY1848044,VA,Silver,279.84,9
94646NK9663924,OH,Silver,365.39,16
16074YB7807443,FL,Silver,417.56,58
86152XY3754427,SC,Silver,276.89,39
27527ZU1912352,FL,Silver,337.74,4
80748YI0788765,FL,Gold,475.12,50
00032JR6039028,OH,Bronze,243.28,14
52950JA8075952,NC,Catastrophic,143.34,13
99605TJ0191746,WI,Silver,341.55,10
60098WJ4564178,LA,Gold,360.41,7
89063HO3451577,OR,Gold,339,7
62093BH5787972,MI,Bronze,215.12,12
34408PO9005765,GA,Platinum,650.82,6
44371CP4520817,AL,Gold,285.88,11
42089PD8762277,TX,Bronze,257.21,6
05648SJ4788705,FL,Bronze,231.74,3
92169HC4994596,TX,Bronze,262.23,4
57141KT1412395,SC,Silver,292.23,9
32506NU6877376,SC,Silver,258.6,27
27789PB4260586,WI,Silver,373.28,12
82645LF4472021,WI,Silver,310.74,11
07150US9925620,AZ,Silver,368.5,2
86497HD1744205,MI,Catastrophic,222.31,15
53485IP5428156,MI,Bronze,264.3013206,13
